Date,$ * #,Invoice,Market Value,Image,Image name,Category,Item name,Brand,Status,Count,Unit price,Total Market Price,Original Price,eBay Price,Use For,Status,Expired date,Sold date,Reviews,Recommend,Comments,From,Link
,,$1437.18,$18317.41,,,,,,,,,,,,,,,,,,,,
"Fri, Jun 17, 2022",1*5,$5.41,$30.00,,,,,,,,,0,,,,,,,,,,,
"Tue, Jun 21, 2022",6*8,$51.96,$150.00,,Screen Shot 2022-08-27 at 2.40.08 PM,Home,Crosby Schoolhouse Desk Lamp Black - Threshold™,Threshold™,New,1,$45.00,$45.00,,,Home,Own used,,,,,,Target,https://www.target.com/p/crosby-schoolhouse-desk-lamp-black-threshold-153/-/A-53340703?preselect=17303196#lnk=sametab
,,,,,,,,,,,,0,,,,,,,,,,,
"Fri, Jun 24, 2022",1*3,$3.25,$20.00,,,,,,,,,0,,,,,,,,,,Target,
,,,,,,,,,,,,0,,,,,,,,,,,
"Tue, Jul 26, 2022",6*9,$58.46,$679.99,,Screen Shot 2022-08-27 at 2.42.36 PM 2,Electronics,"Samsung Galaxy Tab S7 FE 12.4"" WiFi Tablet with 64GB Storage - Black",Samsung,Open Box,1,$529.99,$529.99,,,Family,Own used,,,,,,Target,https://www.target.com/p/samsung-galaxy-tab-s7-fe-12-4-34-wifi-tablet-with-64gb-storage-black/-/A-84784860#lnk=sametab
"Tue, Jul 26, 2022",,,,,Screen Shot 2022-08-15 at 12.30.28 PM,Home,Hudson Table Lamp - Threshold™,Threshold™,New,1,$50.00,$50.00,,,Home,Own used,,,,,,Target,https://www.target.com/p/hudson-table-lamp-threshold/-/A-81499148?preselect=79806102#lnk=sametab
"Tue, Jul 26, 2022",,,,,Screen Shot 2022-08-15 at 12.35.47 PM,Home,Cantilever Task Table Lamp White - Threshold™ designed with Studio McGee,Threshold™,New,2,$50.00,$100.00,,,Home,Waiting to sell,,,,,,Target,https://www.target.com/p/cantilever-task-table-lamp-white-threshold-designed-with-studio-mcgee/-/A-83636172?preselect=81656259#lnk=sametab
,,,,,,,,,,,,0,,,,,,,,,,,
"Fri, Aug 5, 2022",1*7,$7.58,$30.00,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,
"Tue, Aug 9, 2022",6*5,$32.48,$1310.98,,Screen Shot 2022-08-15 at 9.36.44 AM,Electronics,Samsung Galaxy S22 Ultra 5G Unlocked (128GB) Smartphone,Samsung,Mint,1,"$1,199.99","$1,199.99",,,Sell,Waiting to sell,,,,,"Almost like a new, Phantom Black color, 128G",Target,https://www.target.com/p/samsung-galaxy-s22-ultra-5g-unlocked-128gb-smartphone/-/A-85804477?preselect=85287714#lnk=sametab
"Tue, Aug 9, 2022",,,,,Screen Shot 2022-08-15 at 9.29.06 AM 2,Home,1pc Blackout Modern Stroke Window Curtain Panel - Project 62™,Project 62™,Open Box,1,$37.00,$37.00,,,Home,,,,,,,Target,https://www.target.com/p/1pc-blackout-modern-stroke-window-curtain-panel-project-62/-/A-53206413?preselect=53047865#lnk=sametab
"Tue, Aug 9, 2022",,,,,Screen Shot 2022-08-15 at 11.35.36 AM,Home,3 Drawer Wide Cart White - Brightroom™,Brightroom™,Open Box,1,$22.00,$22.00,,,Home,Own used,,,,,No wheels,Target,https://www.target.com/p/3-drawer-wide-cart-white-brightroom-8482/-/A-84242464#lnk=sametab
"Tue, Aug 9, 2022",,,,,Screen Shot 2022-08-15 at 11.54.24 AM,Toys,Snap Circuits My Home Science Kit,Snap Circuits,New,1,$51.99,$51.99,,,Gifts,Waiting to sell,,,,,,Target,https://www.target.com/p/snap-circuits-my-home-science-kit/-/A-79647421?ref=tgt_adv_XS000000&AFID=google_pla_df&fndsrc=tgtao&DFA=71700000012790748&CPNG=PLA_Toys%2BShopping%7CToys_Ecomm_Hardlines&adgroup=SC_Toys&LID=700000001230728pgs&LNM=PRODUCT_GROUP&network=o&device=c&location=&targetid=pla-4585169650811789&ds_rl=1246978&ds_rl=1248099&ref=tgt_adv_XS000000&AFID=bing_pla_df&CPNG=PLA_Toys%2BShopping%7CToys_Ecomm_Hardlines&adgroup=SC_Toys&LID=700000001230728pbs&network=s&device=c&querystring=Snap%20Circuits%20Elenco%20My%20Home%20Electronics%20Building%20Kit&msclkid=038c0ff83de512d7bcd06d02a87ab726&gclid=038c0ff83de512d7bcd06d02a87ab726&gclsrc=3p.ds
,,,,,,,,,,,,0,,,,,,,,,,,
"Wed, Aug 10, 2022",4*2,$8.66,$53.00,,Screen Shot 2022-08-15 at 9.29.06 AM 2 2,Home,1pc Blackout Modern Stroke Window Curtain Panel - Project 62™,Project 62™,Open Box,1,$37.00,$37.00,,,Home,Own used,,,,,,Target,https://www.target.com/p/1pc-blackout-modern-stroke-window-curtain-panel-project-62/-/A-53206413?preselect=53047865#lnk=sametab
"Wed, Aug 10, 2022",,,,,Screen Shot 2022-08-15 at 9.31.40 AM,Home,Performance Bath Towel Set - Threshold™,Threshold™,New,1,$16.00,$16.00,,,Home,Own used,,,,,A set of two towers,Target,https://www.target.com/p/performance-bath-towel-set-threshold/-/A-80223179?preselect=80214910#lnk=sametab
,,,,,,,,,,,,0,,,,,,,,,,,
"Thu, Aug 11, 2022",2*7,$15.16,$169.44,,Screen Shot 2022-08-12 at 9.38.30 AM,Home,Polyresin Wood Accent Lamp - Threshold™,Threshold™,New,2,$12.00,$24.00,,,Home,Own used,,,,,"Light bulbs not included, a pack of 2 sets",Target,https://www.target.com/p/polyresin-wood-accent-lamp-threshold/-/A-79475332?preselect=54555940#lnk=sametab
"Thu, Aug 11, 2022",,,,,Screen Shot 2022-08-12 at 9.52.35 AM,"Arts, Crafts & Sewing",14pc Hand Lettering Set - Mondo Llama™,Mondo Llama™,New,1,$6.49,$6.49,,,Gifts,Given as gift,,,,,,Target,https://www.ebay.com/itm/234461652406?chn=ps&_trkparms=ispr%3D1&amdata=enc%3A1t98V57lHQHCPTiBCJu4pdg49&norover=1&mkevt=1&mkrid=711-213727-13078-0&mkcid=2&itemid=234461652406&targetid=4581046489808869&device=c&mktype=&googleloc=&poi=&campaignid=418640322&mkgroupid=1239149842233245&rlsatarget=pla-4581046489808869&abcId=9300602&merchantid=51291&msclkid=76de1764bb82161bc00b75923fe69491
"Thu, Aug 11, 2022",,,,,Screen Shot 2022-08-12 at 9.58.28 AM,Patio & Garden,"Duck Covers Water-Resistant 19 x 19 x 5 Inch Indoor Outdoor Seat Cushions, Real Teal Chevron, 2-Pack",Duck,New,1,$33.95,$33.95,,,Home,Own used,,,,,,Amazon,https://www.amazon.com/Duck-Covers-Water-Resistant-Outdoor-Cushions/dp/B087LQ6DTP/ref=sr_1_7?crid=2RE5UG3HRHPA6&keywords=duck%2Bcovers%2Bcushions&qid=1660323420&sprefix=duck%2Bcover%2Caps%2C154&sr=8-7&th=1
"Thu, Aug 11, 2022",,,,,Screen Shot 2022-08-12 at 10.05.38 AM,"Clothing, Shoes","Women's Sculpt Motto Leggings 27"" - All in Motion™",All in Motion™,New,1,$40.00,$40.00,,,Liping,Own used,,,,,,Target,https://www.target.com/p/women-s-sculpt-motto-leggings-27-all-in-motion/-/A-82634673?preselect=82558532#lnk=sametab
"Thu, Aug 11, 2022",,,,,Screen Shot 2022-08-12 at 4.16.36 PM,"Clothing, Shoes",Women's Super-High Rise Slim Fit Cropped Kick Flare Pull-On Pants - A New Day™,A New Day™,Open Box,1,$25.00,$25.00,,,Liping,Own used,,,,,,Target,https://www.target.com/p/women-s-super-high-rise-slim-fit-cropped-kick-flare-pull-on-pants-a-new-day/-/A-84753228?preselect=84637606#lnk=sametab
"Thu, Aug 11, 2022",,,,,Screen Shot 2022-08-12 at 4.39.28 PM,Home,Quick Dry Ribbed Bath Towel Set - Threshold™,Threshold™,Open Box,1,$12.00,$12.00,,,Home,Own used,,,,,,Target,https://www.target.com/p/quick-dry-ribbed-bath-towel-set-threshold/-/A-81917187?preselect=81781514#lnk=sametab
"Thu, Aug 11, 2022",,,,,Screen Shot 2022-08-12 at 4.43.07 PM,"Clothing, Shoes",Women's Scoop Neck Medium Coverage One Piece Swimsuit - Kona Sol™ Multi,Kona Sol™,New,1,$40.00,$40.00,,,Liping,Own used,,,,,,Target,https://www.target.com/p/women-s-scoop-neck-medium-coverage-one-piece-swimsuit-kona-sol-multi/-/A-84665493?preselect=84664563#lnk=sametab
,,,,,,,,,,,,0,,,,,,,,,,,
"Fri, Aug 12, 2022",1*15,$16.24,$327.49,,Screen Shot 2022-08-12 at 3.36.37 PM,Health,Pataday Once Daily Relief Allergy Drops,Pataday,New,4,$19.39,$77.56,,,Liping,Waiting to sell,2023-11-01,,,,1 pack of four eye drop boxes,Target,https://www.target.com/p/pataday-once-daily-relief-allergy-drops/-/A-87363258?preselect=78780979#lnk=sametab
"Fri, Aug 12, 2022",,,,,Screen Shot 2022-08-12 at 4.06.38 PM,Health,Systane Gel Nighttime Protection Eye Lubricant - 0.35 fl oz,Systane,New,3,$13.29,$39.87,,,Flavio,Waiting to sell,2023-11-01,,,,1 pack of two boxes,Target,https://www.target.com/p/systane-gel-nighttime-protection-eye-lubricant-0-35-fl-oz/-/A-14774248#lnk=sametab
"Fri, Aug 12, 2022",,,,,Screen Shot 2022-08-12 at 4.22.45 PM,"Clothing, Shoes",Women's High Neck One Piece Swimsuit - Kona Sol™ Black,Kona Sol™,New,1,$36.00,$36.00,,,Liping,Own used,,,,,,Target,https://www.target.com/p/women-s-high-neck-one-piece-swimsuit-kona-sol-black/-/A-83651298?preselect=83648425#lnk=sametab
